Sentence ID,Sentence,Valence,Arousal,Dominance,Sentiment Label,# Words Found,Found Words,All Words
1,Ses02M_script02_1_M000 [004.9300-008.2800]: What time is it?,5.6,3.41,4.36,neutral,1 out of 1,['time'],['time']
2,They're supposed to run around midnight.,5.953333333333333,4.206666666666667,5.6033333333333335,neutral,3 out of 4,"['suppose', 'run', 'midnight']","['suppose', 'run', 'around', 'midnight']"
3,"Ses02M_script02_1_M001 [008.3600-012.7800]: God, this great, isn't it?",6.7,4.85,5.825,positive,2 out of 2,"['god', 'great']","['god', 'great']"
4,"Like look at the night we go here, it couldn't be better.",6.5975,4.1475,5.6775,positive,4 out of 6,"['like', 'look', 'night', 'go']","['like', 'look', 'night', 'go', 'could', 'better']"
5,"Ses02M_script02_1_M002 [013.1700-019.0800]: I would have wanted to go a little further up the coast, get away from the lights and the people but I was afraid we'd miss it.",5.473,4.231,5.239,neutral,10 out of 11,"['would', 'want', 'go', 'little', 'coast', 'get', 'light', 'people', 'afraid', 'miss']","['would', 'want', 'go', 'little', 'coast', 'get', 'away', 'light', 'people', 'afraid', 'miss']"
6,Ses02M_script02_1_M003 [019.1100-020.5400]: How you doing?,N/A,N/A,N/A,N/A,0,N/A,[]
7,Ses02M_script02_1_F000 [020.1900-021.5800]: Fine.,6.5,3.86,5.78,positive,1 out of 1,['fine'],['fine']
8,"Ses02M_script02_1_M004 [021.9200-028.1800]: Is that -- is that, no?",N/A,N/A,N/A,N/A,0,N/A,[]
9,Was that just foam?,5.25,2.9,5.1,neutral,1 out of 1,['foam'],['foam']
10,I can't even tell.,4.73,6.140000000000001,5.06,neutral,1 out of 3,['neg-tell'],"['ca', 'even', 'tell']"
11,"Ses02M_script02_1_M005 [028.3900-034.0000]: Although, I guess you can't tell it probably isn't them.",4.955,5.0,4.975,neutral,2 out of 5,"['guess', 'neg-tell']","['although', 'guess', 'ca', 'tell', 'probably']"
12,Probably be unmistakable don't you think?,4.71,5.29,4.68,neutral,2 out of 3,"['unmistakable', 'neg-think']","['probably', 'unmistakable', 'think']"
13,Ses02M_script02_1_M006 [034.4100-043.2700]: How you doing?,N/A,N/A,N/A,N/A,0,N/A,[]
14,You know what I forgot?,5.275,3.835,4.640000000000001,neutral,2 out of 2,"['know', 'forget']","['know', 'forget']"
15,I forgot to bring my flashlight.,5.136666666666667,4.253333333333333,5.093333333333333,neutral,3 out of 3,"['forget', 'bring', 'flashlight']","['forget', 'bring', 'flashlight']"
16,How - how could I forget to bring my flashlight?,5.136666666666667,4.253333333333333,5.093333333333333,neutral,3 out of 4,"['forget', 'bring', 'flashlight']","['could', 'forget', 'bring', 'flashlight']"
17,How could I be so stupid?,2.84,4.34,4.03,negative,1 out of 2,['stupid'],"['could', 'stupid']"
18,Ses02M_script02_1_F001 [042.8600-044.9500]: What flashlight?,6.0,4.04,6.06,neutral,1 out of 1,['flashlight'],['flashlight']
19,"Ses02M_script02_1_M007 [045.2400-048.4500]: You know the flashlight, the silver one, there is only one, isn't there?",6.496,3.324,6.002,positive,5 out of 5,"['know', 'flashlight', 'silver', 'one', 'one']","['know', 'flashlight', 'silver', 'one', 'one']"
20,Ses02M_script02_1_F002 [048.0000-049.8300]: That's not your flashlight.,4.0,5.96,3.9400000000000004,neutral,1 out of 1,['neg-flashlight'],['flashlight']
21,Ses02M_script02_1_M008 [050.4000-051.7500]: Who's is it?,N/A,N/A,N/A,N/A,0,N/A,[]
22,Ses02M_script02_1_F003 [051.4000-053.8400]: It's ours; it's mine too.,N/A,N/A,N/A,N/A,0,N/A,['mine']
23,"Ses02M_script02_1_M009 [053.5400-055.8100]: Oh well, sure, yes.",6.64,3.48,6.82,positive,1 out of 4,['sure'],"['oh', 'well', 'sure', 'yes']"
24,Ses02M_script02_1_F004 [054.9500-060.1700]: But you kept saying my flashlight as if somehow it's just yours.,6.076666666666667,3.966666666666667,6.216666666666667,positive,3 out of 4,"['keep', 'say', 'flashlight']","['keep', 'say', 'flashlight', 'somehow']"
25,I mean how is it supposed to make me feel?,5.015,3.965,5.25,neutral,4 out of 4,"['mean', 'suppose', 'make', 'feel']","['mean', 'suppose', 'make', 'feel']"
26,Ses02M_script02_1_M010 [059.6100-066.0400]: No.,N/A,N/A,N/A,N/A,0,N/A,[]
27,No.,N/A,N/A,N/A,N/A,0,N/A,[]
28,Of course our flashlight yours and mine.,6.0,4.04,6.06,neutral,1 out of 3,['flashlight'],"['course', 'flashlight', 'mine']"
29,"Mi flashlight, es su flashlight, naturally.",6.0,4.04,6.06,neutral,2 out of 6,"['flashlight', 'flashlight']","['mi', 'flashlight', 'es', 'su', 'flashlight', 'naturally']"
30,Ses02M_script02_1_M011 [066.0700-071.2900]: How could we forget to bring it?,4.705,4.359999999999999,4.609999999999999,neutral,2 out of 3,"['forget', 'bring']","['could', 'forget', 'bring']"
31,I hope the moon stays out.,6.873333333333333,3.9533333333333336,6.2,positive,3 out of 3,"['hope', 'moon', 'stay']","['hope', 'moon', 'stay']"
32,Ses02M_script02_1_M012 [071.5900-076.8800]: I wonder do they always run during a full moon?,6.5225,4.1325,6.0125,positive,4 out of 5,"['wonder', 'run', 'full', 'moon']","['wonder', 'always', 'run', 'full', 'moon']"
33,"I can't remember if it was full last year, do you remember?",5.4375,4.2025,5.467499999999999,neutral,4 out of 6,"['neg-remember', 'full', 'year', 'remember']","['ca', 'remember', 'full', 'last', 'year', 'remember']"
34,Ses02M_script02_1_F005 [076.5300-078.2700]: Yea.,N/A,N/A,N/A,N/A,0,N/A,['yea']
35,"Ses02M_script02_1_M013 [078.2894-085.7500]: You cold, you want my jacket?",5.3933333333333335,4.0633333333333335,5.816666666666666,neutral,3 out of 3,"['cold', 'want', 'jacket']","['cold', 'want', 'jacket']"
36,"We should've - we should've brought our blanket, our blanket, how could we forget to bring the blanket?",6.04,3.283333333333333,5.865,positive,6 out of 7,"['bring', 'blanket', 'blanket', 'forget', 'bring', 'blanket']","['bring', 'blanket', 'blanket', 'could', 'forget', 'bring', 'blanket']"
37,"Ses02M_script02_1_M014 [085.8700-092.4100]: Oh, a six-pack, that's, should've brought a -- a six-pack be just the ticket right now.",6.093333333333334,4.413333333333333,5.96,positive,3 out of 4,"['bring', 'ticket', 'right']","['oh', 'bring', 'ticket', 'right']"
38,"How could I forget,
Ses02M_script02_1_M015 [092.4252-097.2200]: oh man.",4.575,4.395,4.470000000000001,neutral,2 out of 4,"['forget', 'man']","['could', 'forget', 'oh', 'man']"
39,"Like a kid, it's amazing I got out of the house with my fly zipped.",6.684285714285714,4.5600000000000005,5.707142857142857,positive,7 out of 7,"['like', 'kid', 'amazing', 'get', 'house', 'fly', 'zip']","['like', 'kid', 'amazing', 'get', 'house', 'fly', 'zip']"
40,Ses02M_script02_1_M016 [099.7938-106.1000]: You think they can hear us talk or feel the vibrations in the sand when we move around?,6.13,3.975714285714286,5.788571428571428,positive,7 out of 9,"['think', 'hear', 'talk', 'feel', 'vibration', 'sand', 'move']","['think', 'hear', 'us', 'talk', 'feel', 'vibration', 'sand', 'move', 'around']"
41,Ses02M_script02_1_F006 [105.7900-107.4100]: I'm cold.,4.32,3.55,5.17,neutral,1 out of 1,['cold'],['cold']
42,Ses02M_script02_1_M017 [107.5200-109.1900]: What you want my jacket?,5.93,4.32,6.14,neutral,2 out of 2,"['want', 'jacket']","['want', 'jacket']"
43,Ses02M_script02_1_F007 [108.9900-111.6800]: It's after eleven.,5.0,3.05,5.2,neutral,1 out of 1,['eleven'],['eleven']
44,Let's just go home.,6.583333333333334,3.783333333333333,6.053333333333333,positive,3 out of 3,"['let', 'go', 'home']","['let', 'go', 'home']"
45,"Ses02M_script02_1_M018 [111.7800-117.1300]: Are you kidding, we'd miss it.",5.665,4.305,4.975,neutral,2 out of 2,"['kid', 'miss']","['kid', 'miss']"
46,"We, we just got here.",6.09,3.67,5.65,positive,1 out of 1,['get'],['get']
