Sentence ID,Sentence,Valence,Arousal,Dominance,Sentiment Label,# Words Found,Found Words,All Words
1,Ses03M_impro05b_F000 [005.2466-007.9300]: Can I help you sir?,6.2,4.3100000000000005,6.0,positive,2 out of 2,"['help', 'sir']","['help', 'sir']"
2,Ses03M_impro05b_M000 [007.2600-010.2500]: Yeah.,N/A,N/A,N/A,N/A,0,N/A,['yeah']
3,"Ses03M_impro05b_M001 [010.5900-016.9100]: I've been here for four hours and I don't know where one piece of my luggage is
Ses03M_impro05b_F001 [015.9350-020.6125]: Okay.",4.636666666666667,4.696666666666666,5.181666666666667,neutral,6 out of 7,"['four', 'hour', 'neg-know', 'neg-one', 'piece', 'luggage']","['four', 'hour', 'know', 'one', 'piece', 'luggage', 'okay']"
4,Well let's...well I'm going to go ahead and check on that for you.,6.285,3.9525,5.3475,positive,4 out of 7,"['let', 'go', 'go', 'check']","['well', 'let', 'well', 'go', 'go', 'ahead', 'check']"
5,You're coming from...where are you coming from?,5.64,3.57,5.94,neutral,2 out of 2,"['come', 'come']","['come', 'come']"
6,Ses03M_impro05b_M002 [020.2800-021.7200]: Baltimore.,N/A,N/A,N/A,N/A,0,N/A,['baltimore']
7,"Ses03M_impro05b_F002 [020.9400-023.4500]: Baltimore and this is a direct flight to LAX
Ses03M_impro05b_M003 [023.0900-024.4700]: Yes.",5.43,3.87,5.68,neutral,3 out of 5,"['direct', 'flight', 'lax']","['baltimore', 'direct', 'flight', 'lax', 'yes']"
8,Ses03M_impro05b_F003 [023.9000-026.1500]: Okay.,N/A,N/A,N/A,N/A,0,N/A,['okay']
9,"Let's look up here
F:--okay-
Ses03M_impro05b_M004 [025.8500-029.3500]: You know and they've looked it up before and it's not there.",6.1675,3.3674999999999997,5.9,positive,4 out of 6,"['let', 'look', 'know', 'look']","['let', 'look', 'f', 'okay', 'know', 'look']"
10,Ses03M_impro05b_F004 [028.9100-030.6700]: Okay.,N/A,N/A,N/A,N/A,0,N/A,['okay']
11,"Well you um-...
Ses03M_impro05b_M005 [030.0900-033.0000]: Now what are you going to do for me different?",6.115,4.405,5.9,positive,2 out of 4,"['go', 'different']","['well', 'um', 'go', 'different']"
12,Hmm?,N/A,N/A,N/A,N/A,0,N/A,['hmm']
13,"Ses03M_impro05b_F005 [031.6400-038.2150]: What I can do for you is uh we can uh report lost, lost property.",4.4875,4.7825,5.1,neutral,4 out of 6,"['report', 'lose', 'lose', 'property']","['uh', 'uh', 'report', 'lose', 'lose', 'property']"
14,Ses03M_impro05b_M006 [037.8600-040.1200]: You can report lost property?,4.786666666666666,4.566666666666666,5.336666666666667,neutral,3 out of 3,"['report', 'lose', 'property']","['report', 'lose', 'property']"
15,Ses03M_impro05b_F006 [039.7300-040.7700]: Yes.,N/A,N/A,N/A,N/A,0,N/A,['yes']
16,Ses03M_impro05b_M007 [040.3100-051.4700]: Okay.,N/A,N/A,N/A,N/A,0,N/A,['okay']
17,"I'm leaving LA tomorrow for San Diego, driving there.",5.59,4.335000000000001,5.57,neutral,2 out of 6,"['leave', 'drive']","['leave', 'la', 'tomorrow', 'san', 'diego', 'drive']"
18,"So, I'm going to leave without all my lost property?",5.1475,4.88,5.467499999999999,neutral,4 out of 5,"['go', 'leave', 'lose', 'property']","['go', 'leave', 'without', 'lose', 'property']"
