Sentence ID,Sentence,Valence,Arousal,Dominance,Sentiment Label,# Words Found,Found Words,All Words
1,Ses03M_impro04_F000 [006.3200-008.5200]: What's going on man?,5.87,4.61,5.385,neutral,2 out of 2,"['go', 'man']","['go', 'man']"
2,What's wrong?,3.24,5.29,3.39,negative,1 out of 1,['wrong'],['wrong']
3,Ses03M_impro04_M000 [008.1300-011.2900]: I'm just so tired all the time.,4.945,3.54,4.71,neutral,2 out of 2,"['tired', 'time']","['tired', 'time']"
4,"Ses03M_impro04_F001 [013.8500-017.3375]: Well have you been trying to get a job, look for a job or...?",5.792,3.886,5.2700000000000005,neutral,5 out of 6,"['try', 'get', 'job', 'look', 'job']","['well', 'try', 'get', 'job', 'look', 'job']"
5,Ses03M_impro04_M001 [016.9100-020.4300]: I've been looking for like eight months.,6.135,3.8200000000000003,5.6175,positive,4 out of 4,"['look', 'like', 'eight', 'month']","['look', 'like', 'eight', 'month']"
6,Ses03M_impro04_F002 [019.8900-024.6600]: I know.,6.82,3.24,5.78,positive,1 out of 1,['know'],['know']
7,It- It's really tough out there.,4.45,4.24,6.0,neutral,1 out of 2,['tough'],"['really', 'tough']"
8,It's really hard to find a job.,5.4799999999999995,4.006666666666667,5.213333333333334,neutral,3 out of 4,"['hard', 'find', 'job']","['really', 'hard', 'find', 'job']"
9,Ses03M_impro04_M002 [024.0100-030.0745]: I'm tired of the same excuses.,4.404999999999999,3.6399999999999997,4.89,neutral,2 out of 2,"['tired', 'excuse']","['tired', 'excuse']"
10,"No, no you're not qualified enough, wish you had more education.",5.65,3.9899999999999998,5.613333333333333,neutral,3 out of 4,"['neg-qualify', 'wish', 'education']","['qualify', 'enough', 'wish', 'education']"
11,Ses03M_impro04_F003 [029.6500-031.3600]: Well what are you looking for?,5.95,3.76,5.88,neutral,1 out of 2,['look'],"['well', 'look']"
12,"I mean--
Ses03M_impro04_M003 [030.4600-033.7800]: Last time someone told me I was too qualified.",5.0175,4.5325,4.987500000000001,neutral,4 out of 6,"['mean', 'time', 'tell', 'qualify']","['mean', 'last', 'time', 'someone', 'tell', 'qualify']"
13,"Ses03M_impro04_F004 [033.4400-035.7200]: Well, okay.",N/A,N/A,N/A,N/A,0,N/A,"['well', 'okay']"
14,"Well that's--
Ses03M_impro04_M004 [034.5700-036.3100]: Cause I went to Harvard.",5.73,4.17,5.25,neutral,2 out of 4,"['cause', 'go']","['well', 'cause', 'go', 'harvard']"
15,"Ses03M_impro04_F005 [038.6500-043.0800]: Well, that's what?",N/A,N/A,N/A,N/A,0,N/A,['well']
16,For what job?,5.64,4.0,4.44,neutral,1 out of 1,['job'],['job']
17,Who...what jobs are you looking for?,5.795,3.88,5.16,neutral,2 out of 2,"['job', 'look']","['job', 'look']"
18,Ses03M_impro04_M005 [043.2300-057.0300]: I applied as restaurant manager at P.F.,5.6433333333333335,3.8600000000000003,6.3933333333333335,neutral,3 out of 3,"['apply', 'restaurant', 'manager']","['apply', 'restaurant', 'manager']"
19,Chang.,N/A,N/A,N/A,N/A,0,N/A,['chang']
20,I applied at----Macy's store manager.,5.306666666666667,3.606666666666667,6.266666666666667,neutral,3 out of 4,"['apply', 'store', 'manager']","['apply', 'macy', 'store', 'manager']"
21,Tried to get investment banking job with Deloitte and Touche.,5.596,4.128,5.192,neutral,5 out of 7,"['try', 'get', 'investment', 'banking', 'job']","['try', 'get', 'investment', 'banking', 'job', 'deloitte', 'touche']"
22,I'm trying everywhere.,5.64,4.0,5.94,neutral,1 out of 2,['try'],"['try', 'everywhere']"
23,"Ses03M_impro04_FXX0 [047.9041-049.3319]: But, Listen--
Ses03M_impro04_F006 [057.0200-067.5900]: Yeah.",6.91,3.76,5.56,positive,1 out of 2,['listen'],"['listen', 'yeah']"
24,"Well it seems to me, you know, you just got to keep going out there, you know, pushing through.",6.172857142857143,3.725714285714286,5.262857142857143,positive,7 out of 8,"['seem', 'know', 'get', 'keep', 'go', 'know', 'push']","['well', 'seem', 'know', 'get', 'keep', 'go', 'know', 'push']"
25,You got a Harvard degree.,5.859999999999999,3.885,5.325,neutral,2 out of 3,"['get', 'degree']","['get', 'harvard', 'degree']"
26,"I mean, you can get a job anywhere.",4.72,4.16,4.753333333333334,neutral,3 out of 4,"['mean', 'get', 'job']","['mean', 'get', 'job', 'anywhere']"
27,Ses03M_impro04_M006 [065.9500-074.6200]: You know what?,6.82,3.24,5.78,positive,1 out of 1,['know'],['know']
28,I've been working at temp jobs for the past six months.,5.173333333333333,3.9133333333333336,5.211666666666667,neutral,6 out of 6,"['work', 'temp', 'job', 'past', 'six', 'month']","['work', 'temp', 'job', 'past', 'six', 'month']"
29,You know how degrading it is?,6.82,3.24,5.78,positive,1 out of 2,['know'],"['know', 'degrading']"
30,Ses03M_impro04_F007 [074.0600-075.6500]: Yeah.,N/A,N/A,N/A,N/A,0,N/A,['yeah']
31,Ses03M_impro04_M007 [075.6800-082.0700]: To be a receptionist?,5.37,3.09,5.58,neutral,1 out of 1,['receptionist'],['receptionist']
32,Oh I spent forty thousand dollar a year for my college degree and I'm a receptionist.,5.99125,3.92375,5.64,neutral,8 out of 9,"['spend', 'forty', 'thousand', 'dollar', 'year', 'college', 'degree', 'receptionist']","['oh', 'spend', 'forty', 'thousand', 'dollar', 'year', 'college', 'degree', 'receptionist']"
33,God.,5.9,5.56,5.0,neutral,1 out of 1,['god'],['god']
34,Ses03M_impro04_F008 [081.5400-082.7900]: Yeah.,N/A,N/A,N/A,N/A,0,N/A,['yeah']
35,Ses03M_impro04_M008 [082.1100-085.0500]: I'm smarter than half the people I work for.,5.375,4.05,5.76,neutral,2 out of 4,"['people', 'work']","['smarter', 'half', 'people', 'work']"
36,"Ses03M_impro04_F009 [084.5500-088.4000]: Well, what do you...what would ideally like to do, you know?",6.723333333333334,3.816666666666667,6.0,positive,3 out of 5,"['would', 'like', 'know']","['well', 'would', 'ideally', 'like', 'know']"
37,Ses03M_impro04_M009 [088.3600-092.1400]: I don't know astronaut?,3.2249999999999996,6.18,4.449999999999999,negative,2 out of 2,"['neg-know', 'neg-astronaut']","['know', 'astronaut']"
38,I don't know something crazy like that.,5.16,5.086666666666667,5.4366666666666665,neutral,3 out of 4,"['neg-know', 'neg-crazy', 'like']","['know', 'something', 'crazy', 'like']"
39,Ses03M_impro04_F010 [091.2600-093.4500]: Well what'd you major in?,5.52,4.24,5.28,neutral,1 out of 2,['major'],"['well', 'major']"
40,Ses03M_impro04_M010 [093.6800-096.4100]: Biomedical Engineering.,6.0,3.14,5.61,neutral,1 out of 2,['engineering'],"['biomedical', 'engineering']"
41,"Ses03M_impro04_F011 [096.3300-100.2200]: You-You can't be working as a restaurant manager, I mean, come on.",4.958,4.478,5.394,neutral,5 out of 6,"['neg-work', 'restaurant', 'manager', 'mean', 'come']","['ca', 'work', 'restaurant', 'manager', 'mean', 'come']"
42,Ses03M_impro04_M011 [099.3000-105.3400]: I don't want to do engineering though.,5.0,3.925,5.11,neutral,2 out of 3,"['neg-want', 'engineering']","['want', 'engineering', 'though']"
43,"It's so...I had the internship what, last summer,
Ses03M_impro04_M012 [105.3575-116.2900]: and I was pulling my hair out and it was like, oh my God.",6.418333333333333,4.916666666666667,5.948333333333333,positive,6 out of 8,"['internship', 'summer', 'pull', 'hair', 'like', 'god']","['internship', 'last', 'summer', 'pull', 'hair', 'like', 'oh', 'god']"
