Sentence ID,Sentence,Valence,Arousal,Dominance,Sentiment Label,# Words Found,Found Words,All Words
1,Ses03F_script01_2_F000 [006.9026-009.7483]: Why did you invite her here?,5.68,5.1,6.95,neutral,1 out of 1,['invite'],['invite']
2,Ses03F_script01_2_M000 [008.9019-011.7622]: Why?,N/A,N/A,N/A,N/A,0,N/A,[]
3,Does that bother you?,4.44,4.2,4.22,neutral,1 out of 1,['bother'],['bother']
4,Ses03F_script01_2_F001 [011.1850-015.8191]: She's been in New York for three-and-a-half years.,6.715,4.234999999999999,5.515,positive,2 out of 3,"['new', 'year']","['new', 'york', 'year']"
5,"She don't just suddenly come and-
Ses03F_script01_2_M001 [015.3375-018.7450]: Well, maybe, maybe he just wanted to see her.",5.543333333333333,5.206666666666667,5.1499999999999995,neutral,3 out of 7,"['neg-come', 'want', 'see']","['suddenly', 'come', 'well', 'maybe', 'maybe', 'want', 'see']"
6,Ses03F_script01_2_F002 [018.2825-021.4083]: You don't travel seven hundred miles just to see.,4.352,4.856,4.64,neutral,5 out of 5,"['neg-travel', 'neg-seven', 'neg-hundred', 'mile', 'see']","['travel', 'seven', 'hundred', 'mile', 'see']"
7,Ses03F_script01_2_M002 [021.2186-031.1858]: What do you mean?,2.43,4.81,4.17,negative,1 out of 1,['mean'],['mean']
8,They lived next door to each other their entire lives.,6.4325,4.085,5.887499999999999,positive,4 out of 5,"['live', 'door', 'entire', 'life']","['live', 'next', 'door', 'entire', 'life']"
9,Why shouldn't he want to see her?,5.135,4.305,5.305,neutral,2 out of 2,"['neg-want', 'see']","['want', 'see']"
10,"Hey, don't look at me like that.",5.745,5.32,5.2,neutral,2 out of 3,"['neg-look', 'like']","['hey', 'look', 'like']"
11,I don't know anymore than you do.,3.1799999999999997,6.76,4.22,negative,1 out of 2,['neg-know'],"['know', 'anymore']"
12,Ses03F_script01_2_F003 [031.3317-034.0753]: He's not going to marry her.,3.295,4.8100000000000005,4.5,negative,2 out of 2,"['neg-go', 'neg-marry']","['go', 'marry']"
13,Ses03F_script01_2_M003 [033.5925-036.3080]: How do you know he's even thinking about it?,6.75,3.495,6.140000000000001,positive,2 out of 3,"['know', 'think']","['know', 'even', 'think']"
14,Ses03F_script01_2_F004 [035.4616-037.3442]: It's got that about it.,6.09,3.67,5.65,positive,1 out of 1,['get'],['get']
15,"Ses03F_script01_2_M004 [036.7550-039.4018]: Well, so what?",N/A,N/A,N/A,N/A,0,N/A,['well']
16,"Ses03F_script01_2_F005 [040.6075-042.7145]: What's going on here, Joe?",6.32,4.86,5.33,positive,1 out of 2,['go'],"['go', 'joe']"
17,"Ses03F_script01_2_M005 [042.0286-044.6116]: Listen, kid-
Ses03F_script01_2_F006 [043.4004-047.9389]: She's not Larry's girl.",5.663333333333333,4.413333333333333,5.04,neutral,3 out of 4,"['listen', 'kid', 'neg-girl']","['listen', 'kid', 'larry', 'girl']"
18,She knows that.,6.82,3.24,5.78,positive,1 out of 1,['know'],['know']
19,Ses03F_script01_2_M006 [047.3697-050.2592]: You can't read her mind.,3.2849999999999997,5.625,3.9,negative,2 out of 3,"['neg-read', 'neg-mind']","['ca', 'read', 'mind']"
20,Ses03F_script01_2_F007 [049.5295-055.3231]: Then why is she married?,7.09,5.52,5.67,positive,1 out of 1,['marry'],['marry']
21,Then why isn't she married?,2.91,4.48,4.33,negative,1 out of 1,['neg-marry'],['marry']
22,She's been in New York and there's hundreds of single men there.,6.523333333333333,4.23,5.24,positive,3 out of 5,"['new', 'hundred', 'single']","['new', 'york', 'hundred', 'single', 'men']"
23,"Ses03F_script01_2_F008 [055.4106-059.7302]: I'm sure hundreds of them asked her and told her that she's foolish, but no.",5.4719999999999995,3.818,5.524,neutral,5 out of 5,"['sure', 'hundred', 'ask', 'tell', 'foolish']","['sure', 'hundred', 'ask', 'tell', 'foolish']"
24,Ses03F_script01_2_F009 [059.8324-062.1235]: She's waited.,4.55,3.62,5.31,neutral,1 out of 1,['wait'],['wait']
25,Ses03F_script01_2_M007 [062.2403-065.1005]: How do you know why she's waited?,5.6850000000000005,3.43,5.545,neutral,2 out of 2,"['know', 'wait']","['know', 'wait']"
26,"Ses03F_script01_2_F010 [065.3924-068.8072]: Because she thinks like me, that's why.",7.0600000000000005,4.075,6.390000000000001,positive,2 out of 2,"['think', 'like']","['think', 'like']"
27,"Ses03F_script01_2_F011 [069.9017-076.9065]: She's faithful as a rock, don't you know.",5.616666666666666,4.793333333333333,5.59,neutral,3 out of 3,"['faithful', 'rock', 'neg-know']","['faithful', 'rock', 'know']"
28,"In my worst moments I can think of her-
Ses03F_script01_2_F012 [077.8075-082.4175]: I think again, that I'm-I'm right.",6.695,4.1375,6.54,positive,4 out of 5,"['moment', 'think', 'think', 'right']","['worst', 'moment', 'think', 'think', 'right']"
29,"Ses03F_script01_2_M008 [083.3475-087.6200]: Look, it's a nice day.",6.42,3.6366666666666667,5.9799999999999995,positive,3 out of 3,"['look', 'nice', 'day']","['look', 'nice', 'day']"
30,What are we arguing for?,3.15,6.67,4.77,negative,1 out of 1,['argue'],['argue']
31,Ses03F_script01_2_F013 [087.1275-095.5300]: Nobody in my house better ever dare-dare to challenge her faith.,6.526666666666667,4.2,5.53,positive,3 out of 6,"['house', 'challenge', 'faith']","['nobody', 'house', 'better', 'ever', 'challenge', 'faith']"
32,"Maybe strangers, but not his father, not his brother.",3.6766666666666667,5.88,4.7299999999999995,negative,3 out of 4,"['stranger', 'neg-father', 'neg-brother']","['maybe', 'stranger', 'father', 'brother']"
33,Ses03F_script01_2_M009 [094.0900-095.9200]: Calm yourself.,6.89,1.67,7.44,positive,1 out of 1,['calm'],['calm']
34,Ses03F_script01_2_F014 [095.5800-100.5600]: Because he's not coming back.,4.800000000000001,6.92,4.42,neutral,2 out of 2,"['neg-come', 'neg-back']","['come', 'back']"
35,Then what do I got to live for?,7.02,4.1899999999999995,6.075,positive,2 out of 2,"['get', 'live']","['get', 'live']"
36,I'll kill myself.,1.81,6.81,3.61,negative,1 out of 1,['kill'],['kill']
37,Ses03F_script01_2_M010 [100.2250-101.8700]: Calm yourself.,6.89,1.67,7.44,positive,1 out of 1,['calm'],['calm']
38,"Ses03F_script01_2_F015 [100.5600-103.1100]: Don't, don't laugh at me, don't laugh at me.",2.4400000000000004,3.38,2.6100000000000003,negative,2 out of 2,"['neg-laugh', 'neg-laugh']","['laugh', 'laugh']"
39,Ses03F_script01_2_F016 [103.2100-110.4800]: Look at it.,5.95,3.76,5.88,neutral,1 out of 1,['look'],['look']
40,"Because why, when she came here and she slept in his room, the memorial broke into pieces.",5.743333333333333,3.6333333333333333,5.3,neutral,6 out of 6,"['come', 'sleep', 'room', 'memorial', 'break', 'piece']","['come', 'sleep', 'room', 'memorial', 'break', 'piece']"
41,"Look at it, look at it, Joe.",5.95,3.76,5.88,neutral,2 out of 3,"['look', 'look']","['look', 'look', 'joe']"
42,Ses03F_script01_2_M011 [109.5200-112.0700]: All right.,7.32,5.0,7.16,positive,1 out of 1,['right'],['right']
43,All right.,7.32,5.0,7.16,positive,1 out of 1,['right'],['right']
44,Calm yourself.,6.89,1.67,7.44,positive,1 out of 1,['calm'],['calm']
45,"Ses03F_script01_2_F017 [111.3200-115.9050]: You got to believe, believe with me because I can't stand all alone.",6.214,4.646,5.676,positive,5 out of 6,"['get', 'believe', 'believe', 'neg-stand', 'neg-alone']","['get', 'believe', 'believe', 'ca', 'stand', 'alone']"
46,Ses03F_script01_2_M012 [114.6900-117.1800]: Okay.,N/A,N/A,N/A,N/A,0,N/A,['okay']
47,Just calm yourself.,6.89,1.67,7.44,positive,1 out of 1,['calm'],['calm']
48,"Ses03F_script01_2_F018 [116.8200-118.5000]: No, you've got to believe.",6.57,3.5,6.105,positive,2 out of 2,"['get', 'believe']","['get', 'believe']"
49,"Ses03F_script01_2_F019 [118.6000-122.4532]: Believe, Joe.",7.05,3.33,6.56,positive,1 out of 2,['believe'],"['believe', 'joe']"
50,You above all people have got to believe.,6.28,3.59,5.87,positive,3 out of 3,"['people', 'get', 'believe']","['people', 'get', 'believe']"
51,"Ses03F_script01_2_M013 [121.6800-124.5400]: Why me, above all?",N/A,N/A,N/A,N/A,0,N/A,[]
52,Ses03F_script01_2_M014 [126.1900-127.8200]: Huh?,N/A,N/A,N/A,N/A,0,N/A,['huh']
53,Ses03F_script01_2_M015 [127.9300-130.8225]: Why me above all?,N/A,N/A,N/A,N/A,0,N/A,[]
54,Ses03F_script01_2_F020 [130.1700-132.6600]: You got to keep believing.,6.486666666666666,3.4766666666666666,5.973333333333334,positive,3 out of 3,"['get', 'keep', 'believe']","['get', 'keep', 'believe']"
55,"Ses03F_script01_2_M016 [132.6100-135.3700]: Look at you, you're shaking.",5.27,4.48,6.125,neutral,2 out of 2,"['look', 'shake']","['look', 'shake']"
56,Ses03F_script01_2_F021 [135.2300-137.1600]: I can't help it.,3.05,5.71,3.1100000000000003,negative,1 out of 2,['neg-help'],"['ca', 'help']"
